Index;Dialogue Index;Context;Gesture;English;Spanish;German
1;1;El armero es un hombre duro pero afable;;Good morning kid.;Buenos días chaval.;
2;1;;;I'm the blacksmith. The one and only... in armor and bone.;Soy el armero. El mismo... en armadura y hueso.;
3;1;;;Damn little one! What a shame of a weapon, calm down, I believe I have something better and not what sells our dear blacksmith.;¡Diablos pequeñín! Qué vergüenza de arma. Tranquilo, creo que tengo algo mejor, y no lo que vende nuestro querido herrero.;
4;1;;;You look parsimonious in words...;Se te ve parco en palabras...;
5;1;;;Well, boy, you kill a lot with your new acquisition.;En fin chaval, que mates un montón con tu nueva adquisición.;
6;2;Segundo encuentro;;;Bienvenido de nuevo.;
7;2;;;;Veo que sabes aprovechar bien tu arma.;
8;2;;;;¿Y si te dijera que te puedo ofrecer algo mucho mejor...?;
9;2;;;;Disfrútala y ten cuidado con lo que hagas con ella, te veo callado, pero peligroso.;
10;2;;;;Buena cruzada enano.;
11;3;Tercer encuentro;;;Oh, mírate, estás hecho todo un guerrero.;
12;3;;;;Aunque todo buen guerrero necesita mejorar sus armas.;
13;3;;;;Ven, ven, no te cortes.;
14;3;;;;Carga contra tus enemigos sin miedo.;
15;4;Cuarto encuentro;;;Vaya, has vuelto.;
16;4;;;;Y veo que estás cubierto de tuétano.;
17;4;;;;Jajaja... Sacándole partido a mis armas por lo que veo. ;
18;4;;;;Así me gusta. Vamos, no te cortes, dime, ¿qué necesitas?;
19;4;;;;A tope, canijo.;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
