Index;Dialogue Index;Context;Gesture;English;Spanish;German
1;1;"
El herrero es un cascarrabias malhumorado";;Being a blacksmith is hard, but I can say that I am the best at it.;Ser herrero es duro, pero puedo decir que soy el mejor en esto.;
2;1;;;What do you need? Hurry up, I'm busy.;¿Qué necesitas? Date prisa que ando liado.;
3;2;Habla mal de los aventureros;;I'll never understand the adventurers who decide to go into the cave,;Nunca entenderé a los aventureros que deciden adentrarse en la cueva,;
4;2;;;is too dangerous.;es demasiado peligroso.;
5;2;;;Although I don't care, more adventure is more business.;Aunque a mi me da igual, más aventureros es más negocio.;
6;3;El herrero se hace el duro, pero muestra interés por el interior de la cueva.;;That thing you're carrying there looks valuable.;Eso que llevas ahí parece valioso. ;
7;3;;;Is it from the cave?;¿Es de la cueva?;
8;3;;;Few people manage to go that far into the cave;Pocos logran adentrarse tanto;
9;3;;;Forget what I just said, I don't care about the cave.;Olvida lo que acabo de decir, si a mi la cueva me da igual.;
10;3;;;To the point, what do you need?;Al grano, ¿qué necesitas?;
11;4;El herrero intenta sacar tema de conversación, pero con su habitual dureza.;;They say that in the depths of the cave everything stops making sense.;Dicen que en las profundidades de la cueva todo deja de tener sentido.;
12;4;;;Nonsense in my opinion, but many adventurers come because of this rumor, and I'm glad. More business.;Tonterías en mi opinión, pero muchos aventureros vienen por este rumor, y yo que me alegro.;
13;4;;;What do you want?;¿Qué quieres?;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
