Index;Dialogue Index;Context;English;Spanish;German
1;1;;Maga apasionada;Greetins, knight, I'm a magician from the northern mountains.;Buenas, caballero, soy una maga del norte.;Seid gegrüßt, Ritter, ich bin eine Zauberin aus den nördlichen Bergen.
2;1;;;I've heard about your attempts of trying to reach the end of the cave.;He escuchado acerca de vuestros intentos de llegar al final de la cueva.;Ich habe gehört du hast versucht das Ende der Höhle zu erreichen.
3;1;;;As you might have guessed already, there is something in this place that escapes the understanding of man itself.;Te lo habrás podido imaginar, pero hay algo en ese lugar que escapa al entendimiento de todo hombre.;Wie Sie vielleicht schon erraten haben, gibt es an diesem Ort etwas das dem Verstädnis des Menschen selbst entegeht.
4;1;;;Or at least it does for those who lack magical knowledge.;Al menos, a cualquiera que no posea conocimientos sobre magia.;Oder zumindest für diejenigen, denen das magische Wissen fehlt.
5;1;;;You know what? We could make a deal.;Podemos llegar a un trato. ;Wir können eine Vereinbarung treffen.
6;1;;;If you have got the coin for it, I'll strenghten your abilities. In other words: You'll be stronger.;Si me pagas, fortaleceré tus cualidades, haciéndote más poderoso.;Wenn Sie das Gold haben, werde ich Ihre Fähigkeiten stärken. Mit anderen Worten, Sie werden stärker sein.
7;1;;;This should make your life in the cave a little bit easier.;Así podrás llegar más lejos en tu aventura.;Das wird Ihre Leben in der Höhle ein bisschen einfacher machen.
8;1;;;Come on, take a look.;Vamos, acércate.;Komm schon, schau mal.
9;1;;;Good luck, knight.;Buena suerte, caballero.;Viel Glück, Ritter.
10;2;;Maga apasionada;Magic is a fascinating discipline.;La magia es una disciplina fascinante.;Magie ist eine faszinierende Disziplin,
11;2;;;It allows me to do things that are very helpful to people.;Me permite hacer cosas de gran ayuda para la gente.;es erlaubt mir, Dinge zu tun, die für Menschen sehr hilfreich sind.
12;2;;;Take a look and tell me if there is something that interests you.;Echa un vistazo y dime si hay algo que te interese.;Schauen Sie mal rein und sagen Sie mir, ob Sie etwas interessiert
13;2;;;Have a nice crusade.;Buena cruzada.;Ich wünsche Ihnen einen schönen Kreuzzug.
14;3;;La magia de la cueva;I have heard the blacksmith say that in the depths of the cave logic stops working.;He escuchado al herrero decir que en las profundidades de la cueva la lógica deja de funcionar.;Ich habe den Schmied sagen hören, dass in den Tiefen der Höhle das logisches Denken nicht mehr funktioniert.
15;3;;;I wonder what kind of magic is there.;Me pregunto qué clase de magia habrá allá.;Ich frage mich, was für eine Magie es dort gibt.
16;3;;;I'm sure it is very interesting.;Seguro que es de lo más interesante.;Es ist sicher das interessanteste.
17;3;;;Hahaha, forgive my ravings. What do you want?;Jajajaja, perdona mis desvaríos. Dime, qué deseas.;Hahaha, vergib mir meine Begeisterung. Was brauchst du?
18;3;;;Good luck.;Buena suerte.;Viel Glück.
19;4;;Interés por la cueva;One of the things that interest me most about the cave;Una de las cosas que más me interesan de la cueva ;Eine der Sachen, die mich an der Höhle am meisten interessieren 
20;4;;;it's the fact that it changes every time someone gets in.;es el hecho de que cambie cada vez que alguien entra.;ist es die Tatsache, dass es sich jedes Mal ändert wenn jemand rein eintritt.
21;4;;;It's one of the reasons I came here, to learn from the people who ventured in.;Es uno de los motivos por los que vine aquí, para aprender de la gente que se aventura adentro.;Dies ist einer der Gründe, warum ich hierher gekommen bin, um von den Leuten zu lernen, die sich hineingewagt haben.
22;4;;;So you know, anything interesting you see, you tell me about it.;Así que ya sabes, cualquier cosa interesante que veas me la cuentas.;Ich bitte dich, alle was du da drinnen siehst, erzähle es mir.
23;4;;;What do you want?;Dime, qué quieres.;Was willst du?
24;4;;;Be back soon.;No tardes en volver.;Kommen Sie bald wieder zurück.
25;5;;Aplicar la magia de la cueva a sus objetos;If the cave changes every time someone gets in...;Si la cueva cambia cada vez que alguien entra...;Wenn sich die Höhle jedes Mal ändert, wenn jemand hereinkommt...
26;5;;;Maybe I could make an object whose effect changes every time someone uses it.;Tal vez yo podría hacer un objeto cuyo efecto cambie cada vez que alguien lo usa.;Vielleicht könnte ich ein Objekt erstellen, dessen Wirkung sich ändert, wenn jemand es verwendet.
27;5;;;I don't see it as an useful object, but it's an interesting challenge.;No termino de verlo útil, pero es un reto interesante.;Ich weiß es nicht wie das nützlich sein könnte aber es ist eine interessante Herausforderung.
28;5;;;Do you want something?;¿Quieres algo?;Brauchst du etwas?
29;5;;;May the power of the source protect you.;Que la magia de la fuente te protega.;Möge die Magie der Quelle Sie beschützen
30;6;;Le agradece por sus anteriores compras;I'm glad you trust my spells, will be of great use to you.;Me alegro de que confíes en mis hechizos, te serán de gran utilidad.;Ich bin froh, dass Sie meinen Zabersprüchen vetrauen, sie werden von großen nutzen sein.
31;6;;;If you have any questions, ask me.;Si tienes cualquier duda, pregúntame.;Wenn Sie Fragen haben, fragen Sie mich bitte.
32;6;;;Tell me, what do you need?;Dime, ¿qué necesitas?;Was brauchen Sie?
33;6;;;I'll be waiting for your arrival.;Estaré esperando tu regreso.;Ich werde auf Ihre Ankunft warten.
34;7;;Tras completar el juego por primera vez;I see you have become very poweful.;Veo que te has vuelto muy poderoso.;Ich sehe, Sie sind sehr mächtig geworden.
35;7;;;I'd say you runs in the cave must be now a cake walk.;Seguro que avanzar por la cueva debe de ser un paseo para ti.;Das Vorankommen in der Höhle ist sicher ein Spaziergang für Sie.
36;7;;;What if I told you I've found a way to make more precious items appear?;¿Y si te dijese que he encontrado una forma de hacer que aparezcan recompensas más suculentas?;Was wäre, wenn ich Ihnen sagen würde, dass ich einen Weg gefunden habe, bessere Belohnungen erscheinen zu lassen?
37;7;;;Yes, it is true, you have my word.;Sí, sí, como lo oyes.;Ja, ja, wie Sie es hören.
38;7;;;It doesn't come free though. But not an expensive one, stay calm.;Lo único a destacar es que esto tiene un coste. Pero no económico.;Es ist nur zu beachten, dass dies mit Kosten verbunden ist. Aber nicht in finanzieller Hinsicht.
39;7;;;I can strenghten the dangers of the cave with my powers.;Si uso mis poderes para ello, las amenazas de la cueva también se fortalecerán.;Wenn ich meine Kräfte dafür einsetze, werden auch die Bedrohungen in der Höhle verstärkt.
40;7;;;If your enemies become too strong you can alway tell me and I'll undo my spells.;Si dichas amenazas se vuelven demasiado poderosas para ti, siempre puedo revertir mis conjuros.;Wenn solche Bedrohungen zu mächtig für Sie werden, kann ich meine Zaubersprüche jederzeit umkehren.
41;7;;;Go ahead, try it.;Vamos, pruébalo.;Los, versuchen Sie es.
42;7;;;Have fun in your adventure, again.;Que disfrutes de nuevo la aventura.;Genießen Sie das Abenteuer noch einmal.
;;;;
;;;;
