Index;Dialogue Index;Context;Gesture;English;Spanish;German
1;1;Repelente que te mira por encima del hombro.;;By the gods, what do my eyes see? <bounce>( ° ͟ʖ °);Oh, Dios mío, ¿pero qué ven mis ojos? <bounce>( ° ͟ʖ °);Bei den Göttern, was sehen meine Augen? <bounce>( ° ͟ʖ °)
2;1;;;"How dare you walk around dressed in such clothes?";¿Cómo osas ir con semejantes ropajes?;Wie kannst du es wagen mit solchen Kleidern zu gehen?
3;1;;;Are you not ashamed?;¿No te da vergüenza?;Schämst du dich nicht?
4;1;;;Fashion is important, even if you think otherwise. <bounce>( ° ͟ʖ °);La moda es importante, aunque no lo creas. <bounce>( ° ͟ʖ °);Mode ist wichtig, auch wenn du das nicht glauben willst. <bounce>( ° ͟ʖ °)
5;1;;;Look, honey, let me take care of that for you, will you?   <bounce>( ͡° ͜ʖ ͡°);Mira, cariño, vamos a arreglar esto.  <bounce>( ͡° ͜ʖ ͡°);Schatz, lass mich das übernehmen.  <bounce>( ͡° ͜ʖ ͡°)
6;1;;;Choose one of your liking, darling.;Elige las prendas que más te gusten.;Wähle einen deiner Vorlieben, Liebling.
7;1;;;Alrighty, who am I to judge? Be back as soon as you can!  <bounce>^3^;Mmmm, bueno, si te gusta ir así, adelante. ¡No tardes en volver!  <bounce>^3^;Mmm, in Ordnung, wenn es dir gefällt, wer bin ich zu beurteilen? Komm zurück so bald wie möglich! <bounce>^3^
8;2;;;Hey, you still alive! <bounce>°ロ°;¡Ay, sigues vivo! <bounce>°ロ°;Oh, du bist noch am Leben! <bounce>°ロ°
9;2;;;It is my pleasure to see you again, honey.;Qué ilusión volver a verte.;Es ist mir eine Freue dich wiederzusehen.
10;2;;;Come come don't be shy, take a look. It's all four you.  <bounce>( ͡° ͜ʖ ͡°);Venga, mira todo lo que tengo. Es todo para tí. <bounce>( ͡° ͜ʖ ͡°);Komm schon, schau was ich auf Lager habe. Es ist alles für dich.  <bounce>( ͡° ͜ʖ ͡°)
11;2;;;Have a nice crusade! <bounce>ʢoᴥoʡ;Que pases una buena cruzada. <bounce>ʢoᴥoʡ;Ich wünsche Ihnen einen schönen Kreuzzug. <bounce>ʢoᴥoʡ
12;3;;;;;
13;3;;;;;
14;3;;;;;
15;3;;;;;
16;3;;;;;
17;3;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
